Id,Date,Centre_Name,Commodity_Name,Price
165,12-01-09,SRINAGAR,Wheat,1010
166,12-01-09,JAMMU,Wheat,1010
167,12-01-09,AMRITSAR,Wheat,1010
168,12-01-09,LUDHIANA,Wheat,1010
169,12-01-09,LUCKNOW,Wheat,1010
170,12-01-09,DEHRADUN,Wheat,1010
171,12-01-09,RAIPUR,Wheat,1010
172,12-01-09,AHMEDABAD,Wheat,1010
173,12-01-09,BHOPAL,Wheat,1010
174,12-01-09,MUMBAI,Wheat,1010
175,12-01-09,JAIPUR,Wheat,1010
176,12-01-09,PATNA,Wheat,1010
177,12-01-09,RANCHI,Wheat,1010
178,12-01-09,BHUBANESHWAR,Wheat,1220
179,12-01-09,KOLKATA,Wheat,1010
180,12-01-09,GUWAHATI,Wheat,1010
181,12-01-09,SHILLONG,Wheat,1010
182,12-01-09,AIZWAL,Wheat,1010
183,12-01-09,KOHIMA,Wheat,1010
184,12-01-09,AGARTALA,Wheat,1010
185,12-01-09,BENGALURU,Wheat,1700
186,12-01-09,T.PURAM,Wheat,1010
187,12-01-09,CHENNAI,Wheat,1540
188,12-01-09,HYDERABAD,Wheat,1010
189,13-01-09,CHANDIGARH,Wheat,1010
190,13-01-09,DELHI,Wheat,1160
191,13-01-09,SHIMLA,Wheat,1010
192,13-01-09,SRINAGAR,Wheat,1010
193,13-01-09,JAMMU,Wheat,1010
194,13-01-09,AMRITSAR,Wheat,1010
195,13-01-09,LUDHIANA,Wheat,1010
196,13-01-09,LUCKNOW,Wheat,1010
197,13-01-09,DEHRADUN,Wheat,1010
198,13-01-09,RAIPUR,Wheat,1010
199,13-01-09,AHMEDABAD,Wheat,1010
200,13-01-09,BHOPAL,Wheat,1010
201,13-01-09,MUMBAI,Wheat,1010
202,13-01-09,JAIPUR,Wheat,1010
203,13-01-09,PATNA,Wheat,1010
204,13-01-09,RANCHI,Wheat,1010
205,13-01-09,BHUBANESHWAR,Wheat,1010
206,13-01-09,KOLKATA,Wheat,1010
207,13-01-09,GUWAHATI,Wheat,1010
208,13-01-09,SHILLONG,Wheat,1010
209,13-01-09,AIZWAL,Wheat,1010
210,13-01-09,KOHIMA,Wheat,1010
211,13-01-09,AGARTALA,Wheat,1010
212,13-01-09,BENGALURU,Wheat,1010
213,13-01-09,T.PURAM,Wheat,1010
214,13-01-09,CHENNAI,Wheat,1010
215,13-01-09,HYDERABAD,Wheat,1010
216,14-01-09,CHANDIGARH,Wheat,1010
217,14-01-09,DELHI,Wheat,1160
218,14-01-09,SHIMLA,Wheat,1010
219,14-01-09,SRINAGAR,Wheat,1010
220,14-01-09,JAMMU,Wheat,1010
221,14-01-09,AMRITSAR,Wheat,1010
222,14-01-09,LUDHIANA,Wheat,1010
223,14-01-09,LUCKNOW,Wheat,1010
224,14-01-09,DEHRADUN,Wheat,1010
225,14-01-09,RAIPUR,Wheat,1010
226,14-01-09,AHMEDABAD,Wheat,1010
227,14-01-09,BHOPAL,Wheat,1010
228,14-01-09,MUMBAI,Wheat,1010
229,14-01-09,JAIPUR,Wheat,1010
230,14-01-09,PATNA,Wheat,1010
231,14-01-09,RANCHI,Wheat,1010
232,14-01-09,BHUBANESHWAR,Wheat,1220
233,14-01-09,KOLKATA,Wheat,1010
234,14-01-09,GUWAHATI,Wheat,1010
235,14-01-09,SHILLONG,Wheat,1010
236,14-01-09,AIZWAL,Wheat,1010
237,14-01-09,KOHIMA,Wheat,1010
238,14-01-09,AGARTALA,Wheat,1010
239,14-01-09,BENGALURU,Wheat,1010
240,14-01-09,T.PURAM,Wheat,1010
241,14-01-09,CHENNAI,Wheat,1010
242,14-01-09,HYDERABAD,Wheat,1010
243,15-01-09,CHANDIGARH,Wheat,1010
244,15-01-09,DELHI,Wheat,1160
245,15-01-09,SHIMLA,Wheat,1010
246,15-01-09,SRINAGAR,Wheat,1010
247,15-01-09,JAMMU,Wheat,1010
248,15-01-09,AMRITSAR,Wheat,1010
249,15-01-09,LUDHIANA,Wheat,1010
250,15-01-09,LUCKNOW,Wheat,1010
251,15-01-09,DEHRADUN,Wheat,1010
252,15-01-09,RAIPUR,Wheat,1010
253,15-01-09,AHMEDABAD,Wheat,1010
254,15-01-09,BHOPAL,Wheat,1010
255,15-01-09,MUMBAI,Wheat,1010
256,15-01-09,JAIPUR,Wheat,1200
257,15-01-09,PATNA,Wheat,1010
258,15-01-09,RANCHI,Wheat,1010
259,15-01-09,BHUBANESHWAR,Wheat,1010
260,15-01-09,KOLKATA,Wheat,1010
261,15-01-09,GUWAHATI,Wheat,1010
262,15-01-09,SHILLONG,Wheat,1010
263,15-01-09,AIZWAL,Wheat,1010
264,15-01-09,KOHIMA,Wheat,1010
265,15-01-09,AGARTALA,Wheat,1010
266,15-01-09,BENGALURU,Wheat,1700
267,15-01-09,T.PURAM,Wheat,1010
268,15-01-09,CHENNAI,Wheat,1010
269,15-01-09,HYDERABAD,Wheat,1010
270,16-01-09,CHANDIGARH,Wheat,1010
271,16-01-09,DELHI,Wheat,1180
272,16-01-09,SHIMLA,Wheat,1010
273,16-01-09,SRINAGAR,Wheat,1010
274,16-01-09,JAMMU,Wheat,1010
275,16-01-09,AMRITSAR,Wheat,1010
276,16-01-09,LUDHIANA,Wheat,1010
277,16-01-09,LUCKNOW,Wheat,1010
278,16-01-09,DEHRADUN,Wheat,1010
279,16-01-09,RAIPUR,Wheat,1010
280,16-01-09,AHMEDABAD,Wheat,1010
281,16-01-09,BHOPAL,Wheat,1010
282,16-01-09,MUMBAI,Wheat,1010
283,16-01-09,JAIPUR,Wheat,1200
284,16-01-09,PATNA,Wheat,1010
285,16-01-09,RANCHI,Wheat,1010
286,16-01-09,BHUBANESHWAR,Wheat,1220
287,16-01-09,KOLKATA,Wheat,1010
288,16-01-09,GUWAHATI,Wheat,1010
289,16-01-09,SHILLONG,Wheat,1010
290,16-01-09,AIZWAL,Wheat,1010
291,16-01-09,KOHIMA,Wheat,1010
292,16-01-09,AGARTALA,Wheat,1010
293,16-01-09,BENGALURU,Wheat,1010
294,16-01-09,T.PURAM,Wheat,1010
295,16-01-09,CHENNAI,Wheat,1010
296,16-01-09,HYDERABAD,Wheat,1010
297,19-01-09,CHANDIGARH,Wheat,1010
298,19-01-09,DELHI,Wheat,1180
299,19-01-09,SHIMLA,Wheat,1010
300,19-01-09,SRINAGAR,Wheat,1010
301,19-01-09,JAMMU,Wheat,1010
302,19-01-09,AMRITSAR,Wheat,1010
303,19-01-09,LUDHIANA,Wheat,1010
304,19-01-09,LUCKNOW,Wheat,1010
305,19-01-09,DEHRADUN,Wheat,1010
306,19-01-09,RAIPUR,Wheat,1010
307,19-01-09,AHMEDABAD,Wheat,1010
308,19-01-09,BHOPAL,Wheat,1010
309,19-01-09,MUMBAI,Wheat,1010
310,19-01-09,JAIPUR,Wheat,1200
311,19-01-09,PATNA,Wheat,1010
312,19-01-09,RANCHI,Wheat,1010
313,19-01-09,BHUBANESHWAR,Wheat,1220
314,19-01-09,KOLKATA,Wheat,1010
315,19-01-09,GUWAHATI,Wheat,1010
316,19-01-09,SHILLONG,Wheat,1010
317,19-01-09,AIZWAL,Wheat,1010
318,19-01-09,KOHIMA,Wheat,1010
319,19-01-09,AGARTALA,Wheat,1010
320,19-01-09,BENGALURU,Wheat,1700
321,19-01-09,T.PURAM,Wheat,1010
322,19-01-09,CHENNAI,Wheat,1540
323,19-01-09,HYDERABAD,Wheat,1010
324,20-01-09,CHANDIGARH,Wheat,1010
325,20-01-09,DELHI,Wheat,1180
326,20-01-09,SHIMLA,Wheat,1010
327,20-01-09,SRINAGAR,Wheat,1010
328,20-01-09,JAMMU,Wheat,1010
329,20-01-09,AMRITSAR,Wheat,1010
330,20-01-09,LUDHIANA,Wheat,1010
331,20-01-09,LUCKNOW,Wheat,1010
332,20-01-09,DEHRADUN,Wheat,1010
333,20-01-09,RAIPUR,Wheat,1010
334,20-01-09,AHMEDABAD,Wheat,1010
335,20-01-09,BHOPAL,Wheat,1010
336,20-01-09,MUMBAI,Wheat,1010
337,20-01-09,JAIPUR,Wheat,1010
338,20-01-09,PATNA,Wheat,1010
339,20-01-09,RANCHI,Wheat,1010
340,20-01-09,BHUBANESHWAR,Wheat,1220
341,20-01-09,KOLKATA,Wheat,1010
342,20-01-09,GUWAHATI,Wheat,1010
343,20-01-09,SHILLONG,Wheat,1010
344,20-01-09,AIZWAL,Wheat,1010
345,20-01-09,KOHIMA,Wheat,1010
346,20-01-09,AGARTALA,Wheat,1010
347,20-01-09,BENGALURU,Wheat,1010
348,20-01-09,T.PURAM,Wheat,1010
349,20-01-09,CHENNAI,Wheat,1540
350,20-01-09,HYDERABAD,Wheat,1010
351,21-01-09,CHANDIGARH,Wheat,1010
352,21-01-09,DELHI,Wheat,1180
353,21-01-09,SHIMLA,Wheat,1010
354,21-01-09,SRINAGAR,Wheat,1010
355,21-01-09,JAMMU,Wheat,1010
356,21-01-09,AMRITSAR,Wheat,1010
357,21-01-09,LUDHIANA,Wheat,1010
358,21-01-09,LUCKNOW,Wheat,1010
359,21-01-09,DEHRADUN,Wheat,1010
360,21-01-09,RAIPUR,Wheat,1010
361,21-01-09,AHMEDABAD,Wheat,1010
362,21-01-09,BHOPAL,Wheat,1010
363,21-01-09,MUMBAI,Wheat,1010
364,21-01-09,JAIPUR,Wheat,1200
365,21-01-09,PATNA,Wheat,1010
366,21-01-09,RANCHI,Wheat,1010
367,21-01-09,BHUBANESHWAR,Wheat,1220
368,21-01-09,KOLKATA,Wheat,1010
369,21-01-09,GUWAHATI,Wheat,1010
370,21-01-09,SHILLONG,Wheat,1010
371,21-01-09,AIZWAL,Wheat,1010
372,21-01-09,KOHIMA,Wheat,1010
373,21-01-09,AGARTALA,Wheat,1010
374,21-01-09,BENGALURU,Wheat,1700
375,21-01-09,T.PURAM,Wheat,1010
376,21-01-09,CHENNAI,Wheat,1010
377,21-01-09,HYDERABAD,Wheat,1010
378,22-01-09,CHANDIGARH,Wheat,1010
379,22-01-09,DELHI,Wheat,1180
380,22-01-09,SHIMLA,Wheat,1010
381,22-01-09,SRINAGAR,Wheat,1010
382,22-01-09,JAMMU,Wheat,1010
383,22-01-09,AMRITSAR,Wheat,1000
384,22-01-09,LUDHIANA,Wheat,1100
385,22-01-09,LUCKNOW,Wheat,1010
386,22-01-09,DEHRADUN,Wheat,1010
387,22-01-09,RAIPUR,Wheat,1010
388,22-01-09,AHMEDABAD,Wheat,1010
389,22-01-09,BHOPAL,Wheat,1010
390,22-01-09,MUMBAI,Wheat,1010
391,22-01-09,JAIPUR,Wheat,1200
392,22-01-09,PATNA,Wheat,1010
393,22-01-09,RANCHI,Wheat,1010
394,22-01-09,BHUBANESHWAR,Wheat,1220
395,22-01-09,KOLKATA,Wheat,1010
396,22-01-09,GUWAHATI,Wheat,1010
397,22-01-09,SHILLONG,Wheat,1010
398,22-01-09,AIZWAL,Wheat,1010
399,22-01-09,KOHIMA,Wheat,1010
400,22-01-09,AGARTALA,Wheat,1010
401,22-01-09,BENGALURU,Wheat,1700
402,22-01-09,T.PURAM,Wheat,1010
403,22-01-09,CHENNAI,Wheat,1540
404,22-01-09,HYDERABAD,Wheat,1010
405,23-01-09,CHANDIGARH,Wheat,1010
406,23-01-09,DELHI,Wheat,1190
407,23-01-09,SHIMLA,Wheat,1010
408,23-01-09,SRINAGAR,Wheat,1010
409,23-01-09,JAMMU,Wheat,1010
410,23-01-09,AMRITSAR,Wheat,1000
411,23-01-09,LUDHIANA,Wheat,1100
412,23-01-09,LUCKNOW,Wheat,1010
413,23-01-09,DEHRADUN,Wheat,1010
414,23-01-09,RAIPUR,Wheat,1010
415,23-01-09,AHMEDABAD,Wheat,1010
416,23-01-09,BHOPAL,Wheat,1010
417,23-01-09,MUMBAI,Wheat,1010
418,23-01-09,JAIPUR,Wheat,1010
419,23-01-09,PATNA,Wheat,1010
420,23-01-09,RANCHI,Wheat,1010
421,23-01-09,BHUBANESHWAR,Wheat,1010
422,23-01-09,KOLKATA,Wheat,1010
423,23-01-09,GUWAHATI,Wheat,1010
424,23-01-09,SHILLONG,Wheat,1010
425,23-01-09,AIZWAL,Wheat,1010
426,23-01-09,KOHIMA,Wheat,1010
427,23-01-09,AGARTALA,Wheat,1010
428,23-01-09,BENGALURU,Wheat,1010
429,23-01-09,T.PURAM,Wheat,1010
430,23-01-09,CHENNAI,Wheat,1540
431,23-01-09,HYDERABAD,Wheat,1010
432,27-01-09,CHANDIGARH,Wheat,1010
433,27-01-09,DELHI,Wheat,1170
434,27-01-09,SHIMLA,Wheat,1010
435,27-01-09,SRINAGAR,Wheat,1010
436,27-01-09,JAMMU,Wheat,1010
437,27-01-09,AMRITSAR,Wheat,1000
438,27-01-09,LUDHIANA,Wheat,1100
439,27-01-09,LUCKNOW,Wheat,1010
440,27-01-09,DEHRADUN,Wheat,1010
441,27-01-09,RAIPUR,Wheat,1010
442,27-01-09,AHMEDABAD,Wheat,1010
443,27-01-09,BHOPAL,Wheat,1010
444,27-01-09,MUMBAI,Wheat,1010
445,27-01-09,JAIPUR,Wheat,1010
446,27-01-09,PATNA,Wheat,1010
447,27-01-09,RANCHI,Wheat,1010
448,27-01-09,BHUBANESHWAR,Wheat,1220
449,27-01-09,KOLKATA,Wheat,1010
450,27-01-09,GUWAHATI,Wheat,1010
451,27-01-09,SHILLONG,Wheat,1010
452,27-01-09,AIZWAL,Wheat,1010
453,27-01-09,KOHIMA,Wheat,1010
454,27-01-09,AGARTALA,Wheat,1010
455,27-01-09,BENGALURU,Wheat,1700
456,27-01-09,T.PURAM,Wheat,1010
457,27-01-09,CHENNAI,Wheat,1010
